attribute,match,mismatch,uncertainty_material,uncertainty_technique,irrelevance
trade_form,The trade form of the particulate component is supported by the measurement technique.,"The trade form of the particulate component is not supported by the measurement technique. However, given that at least one of the expected dispersibility options of the particulate component is supported by the measurement technique, this circumstance does not affect its recommendation.","As the trade form of the particulate component is unknown, hence the recommendation of the measurement technique is not affected.",There is no data available on this performance characteristic of the measurement technique. This circumstance will not affect its recommendation.,The trade form of the particulate component is irrelevant for the recommendation of the measurement technique.
preparation,,,,,
dispersion_medium,,,,,
dispersibility,At least one expected dispersibility option of the particulate component is supported by the measurement technique. Any dispersion may also be distributed on a substrate.,"The expected dispersibility options of the particulate component are not supported by the measurement technique. However, given that the trade form of the particulate component is supported by the measurement technique, this circumstance does not affect its recommendation.",As the dispersibility options of the particulate component are unknown the recommendation of the measurement technique is not affected.,There is no data available on the performance characteristics of the measurement technique. This circumstance will not affect its recommendation.,The dispersibility options of the particulate component is irrelevant for the recommendation of the measurement technique.
chemical_composition,The expected chemical composition of the particulate component is supported by the measurement technique.,At least one part of the expected chemical composition of the particulate component is not supported by the measurement technique.,As the chemical composition of the particulate component is unknown the recommendation of the measurement technique is not affected.,There is no data available on the performance characteristics of the measurement technique. This circumstance will not affect its recommendation.,The chemical composition of the particulate component is irrelevant for the recommendation of the measurement technique.
composites,Either no composites are expected or the expected composites of the particulate component do not affect the reliability of the measurement technique.,The expected composites of the particulate component may affect the reliability of the measurement technique.,As the composites of the particulate component is unknown the recommendation of the measurement technique is not affected.,There is no data available on the performance characteristics of the measurement technique. This circumstance will not affect its recommendation.,The composites of the particulate component is irrelevant for the recommendation of the measurement technique.
dimensions,The expected number of small dimensions of the particulate component is supported by the measurement technique.,The expected number of small dimensions of the particulate component is not supported by the measurement technique.,As the number of small dimensions of the particulate component is unknown the recommendation of the measurement technique is not affected.,There is no data available on the performance characteristics of the measurement technique. This circumstance will not affect its recommendation.,The number of small dimensions of the particulate component is irrelevant for the recommendation of the measurement technique.
shape,The expected particle shape of the particulate component is supported by the measurement technique.,The expected particle shape of the particulate component is not supported by the measurement technique.,As the particle shape of the particulate component is unknown the recommendation of the measurement technique is not affected. ,There is no data available on the performance characteristics of the measurement technique. This circumstance will not affect its recommendation.,The particle shape of the particulate component is irrelevant for the recommendation of the measurement technique.
analysis_temperature,"Degradation of the particulate component is not expected, as the measurement technique can operate in the expected stable temperature range of the particulate component.","Degradation of the particulate component may occur, as the measurement technique can not operate in the expected stable temperature range of the particulate component.",As the stable temperature range of the particulate component is unknown the recommendation of the measurement technique is not affected.,There is no data available on the performance characteristics of the measurement technique. This circumstance will not affect its recommendation.,The stable temperature range of the particulate component is irrelevant for the recommendation of the measurement technique.
electron_beam,"Degradation of the particulate component is not expected, as either the particulate component is expected to be insensitive to electron radiation or the measurement technique does not apply electron radiation.","Degradation of the particulate component is may occur, as either the particulate component is expected to be sensitive to electron radiation and the measurement technique does apply electron radiation.",As the sensitivity to electron radiation of the particulate component is unknown the recommendation of the measurement technique is not affected.,There is no data available on the performance characteristics of the measurement technique. This circumstance will not affect its recommendation.,The sensitivity to electron radiation of the particulate component is irrelevant for the recommendation of the measurement technique.
