Attribute,Type,Options,Label,Description,Disclaimer,Manual,Note,Changes
reference_signifier,string,,Signifier,Representing the unique material signifier (identification purpose).,,,,"Deleted 'Examples' column as a duplicate exists in the sheet.
Added 'Disclaimer' column for attribute-individual disclaimers."
reference_name,string,,Name,Representing the material name.,,,,"Deleted 'Examples' column as a duplicate exists in the sheet.
Added 'Disclaimer' column for attribute-individual disclaimers."
reference_comment,string,,Comment,Representing a comment on the material.,,,,"Deleted 'Examples' column as a duplicate exists in the sheet.
Added 'Disclaimer' column for attribute-individual disclaimers."
trade_form,set,"powder = Powder
suspension = Suspension
aerosol = Aerosol",Trade form,Representing material trade form.,[Insert material attribute-related disclaimer here.],https://labs.inf.fh-dortmund.de/NanoDefiner/static/downloads/Methods_manual_Summer_school.pdf#page=21,Adopted from the identically named performance criterion.,"Deleted 'Examples' column as a duplicate exists in the sheet.
Added 'Disclaimer' column for attribute-individual disclaimers."
dispersibility,set,"aqueous = Dispersible in aqueous media
nonpolar = Dispersible in non-polar liquids
polar = Dispersible in polar liquids
specific = Dispersible in material-specific media
aerosol = Can be aerosolized
substrate = Can be distributed on a substrate",Dispersibility,Representing dispersibility by protocols.,[Insert material attribute-related disclaimer here.],https://labs.inf.fh-dortmund.de/NanoDefiner/static/downloads/Methods_manual_Summer_school.pdf#page=40,Adopted from the identically named performance criterion.,"Deleted 'Examples' column as a duplicate exists in the sheet.
Added 'Disclaimer' column for attribute-individual disclaimers."
chemical_composition,set,"inorganic = Inorganic
carbon = Carbon based
organic_p = Organic, particulate
organic_np = Organic, non-particulate
biological = Biological
composite = Composite
other = Other",Chemical composition,Representing chemical compositions.,[Insert material attribute-related disclaimer here.],https://labs.inf.fh-dortmund.de/NanoDefiner/static/downloads/Methods_manual_Summer_school.pdf#page=20,Adopted from the identically named performance criterion.,"Deleted 'Examples' column as a duplicate exists in the sheet.
Added 'Disclaimer' column for attribute-individual disclaimers."
composites,set,"core_shell = Core/shell
multiple_coatings = Multiple coatings
mix = A mix of two or more different materials",Composites,Representing composites.,[Insert material attribute-related disclaimer here.],https://labs.inf.fh-dortmund.de/NanoDefiner/static/downloads/Methods_manual_Summer_school.pdf#page=41,Adopted from the identically named performance criterion.,"Deleted 'Examples' column as a duplicate exists in the sheet.
Added 'Disclaimer' column for attribute-individual disclaimers."
dimensions,set,"1d = 1 small dimension
2d = 2 small dimensions
3d = 3 small dimensions
mix = Mixture of different dimensions",Dimension,Representing small dimensions.,[Insert material attribute-related disclaimer here.],https://labs.inf.fh-dortmund.de/NanoDefiner/static/downloads/Methods_manual_Summer_school.pdf#page=41,Adopted from the identically named performance criterion.,"Deleted 'Examples' column as a duplicate exists in the sheet.
Added 'Disclaimer' column for attribute-individual disclaimers."
shape,set,"spherical = Sphere or similar
equiaxial = Equiaxial
elongated = Tubes, fibres, rods (length:ø ≥ 3)
flat = Flakes and discs (thickness:ø ≤ 0.25)
other = Other
mix = Mixture of different nanoscaled materials",Shape,Representing nano-particle shapes.,[Insert material attribute-related disclaimer here.],https://labs.inf.fh-dortmund.de/NanoDefiner/static/downloads/Methods_manual_Summer_school.pdf#page=41,Adopted from the identically named performance criterion.,"Deleted 'Examples' column as a duplicate exists in the sheet.
Added 'Disclaimer' column for attribute-individual disclaimers."
analysis_temperature,interval,"[,]",Stable temperature,Representing the stable analysis temperature range in degree Celsius.,[Insert material attribute-related disclaimer here.],https://labs.inf.fh-dortmund.de/NanoDefiner/static/downloads/Methods_manual_Summer_school.pdf#page=41,Adopted from the identically named performance criterion.,"Deleted 'Examples' column as a duplicate exists in the sheet.
Added 'Disclaimer' column for attribute-individual disclaimers."
