Attribute,Examples,ID-16,ID-17,ID-18,ID-19,ID-20,ID-21,BAM-11,IRMM-380,IRMM-381,IRMM-382,IRMM-383,IRMM-384,IRMM-385,IRMM-386,IRMM-387,IRMM-388,IRMM-389
reference_signifier,,ID-16,ID-17,ID-18,ID-19,ID-20,ID-21,BAM-11,IRMM-380,IRMM-381,IRMM-382,IRMM-383,IRMM-384,IRMM-385,IRMM-386,IRMM-387,IRMM-388,IRMM-389
reference_name,,"[ID-16] Colloidal gold sol, BAM-nano-Au","[ID-17] Colloidal silica, monomodal, ERM-FD304","[ID-18] Colloidal Silica, trimodal, SiO2 3-mod","[ID-19] Monomodal polysterene latex suspension, PSL mono","[ID-20] Trimodal polysterene latex suspension, PSL 3-mod","[ID-21] Colloidal silver sol, BAM-nano-Ag",[BAM-11] Zeolite powder,"[IRMM-380] Organic pigment yellow 83, nano grade","[IRMM-381] BaSO4, fine grade",[IRMM-382] Multi-Walled Carbon NanoTubes,[IRMM-383] Nano Steel,"[IRMM-384] CaCO3, fine grade",[IRMM-385] Kaolin,"[IRMM-386] Organic pigment yellow 83, coarse grade","[IRMM-387] BaSO4, ultrafine grade","[IRMM-388] TiO2, coated","[IRMM-389] Basic methacrylate copolymer particles, BMC"
reference_comment,,For this reference material not all criteria could have been collected. Please feel free to contribute corrections and completions.,For this reference material not all criteria could have been collected. Please feel free to contribute corrections and completions.,For this reference material not all criteria could have been collected. Please feel free to contribute corrections and completions.,For this reference material not all criteria could have been collected. Please feel free to contribute corrections and completions.,For this reference material not all criteria could have been collected. Please feel free to contribute corrections and completions.,For this reference material not all criteria could have been collected. Please feel free to contribute corrections and completions.,For this reference material not all criteria could have been collected. Please feel free to contribute corrections and completions.,For this reference material not all criteria could have been collected. Please feel free to contribute corrections and completions.,For this reference material not all criteria could have been collected. Please feel free to contribute corrections and completions.,For this reference material not all criteria could have been collected. Please feel free to contribute corrections and completions.,For this reference material not all criteria could have been collected. Please feel free to contribute corrections and completions.,For this reference material not all criteria could have been collected. Please feel free to contribute corrections and completions.,For this reference material not all criteria could have been collected. Please feel free to contribute corrections and completions.,For this reference material not all criteria could have been collected. Please feel free to contribute corrections and completions.,For this reference material not all criteria could have been collected. Please feel free to contribute corrections and completions.,For this reference material not all criteria could have been collected. Please feel free to contribute corrections and completions.,For this reference material not all criteria could have been collected. Please feel free to contribute corrections and completions.
trade_form,"? = Unknown
{powder} = Powder as supported trade form",{suspension},{suspension},{suspension},{suspension},{suspension},{suspension},{powder},{powder},{powder},{powder},{powder},{powder},{powder},{powder},{powder},{powder},{powder}
dispersibility,"? = Unknown
{} = None
{aqueous} = Dispersible in aqueous media
{aqueous,nonpolar,polar,specific,aerosol,substrate} = All","{aqueous,nonpolar,polar,specific,aerosol,substrate}","{aqueous,nonpolar,polar,specific,aerosol,substrate}","{aqueous,nonpolar,polar,specific,aerosol,substrate}","{aqueous,nonpolar,polar,specific,aerosol,substrate}","{aqueous,nonpolar,polar,specific,aerosol,substrate}","{aqueous,nonpolar,polar,specific,aerosol,substrate}","{aqueous,nonpolar,polar,specific,aerosol,substrate}","{aqueous,nonpolar,polar,specific,aerosol,substrate}","{aqueous,nonpolar,polar,specific,aerosol,substrate}","{aqueous,nonpolar,polar,specific,aerosol,substrate}","{aqueous,nonpolar,polar,specific,aerosol,substrate}","{aqueous,nonpolar,polar,specific,aerosol,substrate}","{aqueous,nonpolar,polar,specific,aerosol,substrate}","{aqueous,nonpolar,polar,specific,aerosol,substrate}","{aqueous,nonpolar,polar,specific,aerosol,substrate}","{aqueous,nonpolar,polar,specific,aerosol,substrate}","{aqueous,nonpolar,polar,specific,aerosol,substrate}"
chemical_composition,"? = Unknown
{inorganic} = Inorganic
{inorganic,carbon,organic_p,organic_np,biological,composite,other} = All",{inorganic},{inorganic},{inorganic},{organic_p},{organic_p},{inorganic},{inorganic},{organic_p},{inorganic},{carbon},{inorganic},{inorganic},{inorganic},{organic_p},{inorganic},{inorganic},{organic_p}
composites,"? = Unknown
{} = None
{core_shell} = Core/shell",{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{core_shell},{}
dimensions,"? = Unknown
{1d} = 1 small dimension",{3d},{3d},{3d},{3d},{3d},{3d},{3d},{2d},{3d},{2d},{1d},{2d},{1d},{3d},{3d},{3d},{3d}
shape,"? = Unknown
{spherical} = Sphere or similar",{spherical},{spherical},{spherical},{spherical},{spherical},{spherical},{spherical},{elongated},{spherical},{elongated},{flat},{elongated},{flat},{spherical},{spherical},{spherical},{spherical}
