Attribute,Type,Options,Label,Description,Disclaimer,Manual,Note,Changes,D3.2/D7.2/D7.6 source,D7.3 source
technique_signifier,string,,Technique signifier,Identifier from the technique sheet. The combination of the technique signifier and the material signifier needs to be globally unique. See the documentation for further information.,,,,,,
material_signifier,string,,Material signifier,Identifier from the material sheet. The combination of the technique signifier and the material signifier needs to be globally unique. See the documentation for further information.,,,,,,
trade_form,set,"powder = Powder
suspension = Suspension
aerosol = Aerosol",Trade form support,Representing supported material trade forms.,,,,,,
preparation,set,"wetting = Sample wetting
drying = Sample drying
dispersion = Creation of a dispersion
substrate = Creation of a substrate",Sample preparation support,Representing suitable SOP-based preparation techniques for the CM.,,,This attribute will use SOPs as options. A well defined set of those is required from the colleagues of WP2.,Updated option labels.,,
dispersion_medium,set,"liquid = Dispersed in liquids
solid = Solid particulate form
embedded = Dispersed or embedded in different kinds of matrices
substrate = Distributed on a substrate",Dispersion media support,Representing supported dispersion media.,,,,,Nanoparticles in powder or liquid suspension or embedded in a matrix,
dispersibility,set,"aqueous = Dispersible in aqueous media
nonpolar = Dispersible in non-polar liquids
polar = Dispersible in polar liquids
specific = Dispersible in material-specific media
aerosol = Can be aerosolized",Dispersibility support,Representing supported dispersibilities by protocols.,,,,"Option ‘substrate’ eliminated, as any dispersion may be distributed on a substrate.",Dispersibility by dispersion protocols,Dispersibility
chemical_composition,set,"inorganic = Inorganic
carbon = Carbon based
organic_p = Organic, particulate
organic_np = Organic, non-particulate
biological = Biological
composite = Composite
other = Other",Chemical composition support,Representing supported chemical compositions.,,,A mix is not possible for one material. Multi-constituent samples consist of multiple materials.,,Substance nature,Chemical composition
composites,set,"core_shell = Core/shell
multiple_coatings = Multiple coatings
mix = A mix of two or more different materials",Composite support,Representing supported composites.,,,,,Composite,Composite
dimensions,set,"1d = 1 small dimension
2d = 2 small dimensions
3d = 3 small dimensions
mix = Mixture of different dimensions",Dimension support,Representing supported small dimensions.,,,,,Number of nano-scaled dimensions,Nanoscaled dimensions
shape,set,"spherical = Sphere or similar
equiaxial = Equiaxial
elongated = Tubes, fibres, rods (length:ø ≥ 3)
flat = Flakes and discs (thickness:ø ≤ 0.25)
other = Other
mix = Mixture of different nanoscaled materials",Shape support,Representing supported nano-particle shapes.,,,,,Shape of nano-particles,Shape
