attribute,example,TEM default,miniTEM-T1 default,miniTEM-T2 default,SEM default,AFM default,SP-ICP-MS default,TRPS default,PTA default,sprayDEMA default,AC-turb default,AC-RI default,AF4-MALS default,DLS default,ALS default,SAXS default,USSP default,XRD default,BET default
technique_signifier,Use signifier from technique sheet here.,TEM,miniTEM-T1,miniTEM-T2,SEM,AFM,SP-ICP-MS,TRPS,PTA,sprayDEMA,AC-turb,AC-RI,AF4-MALS,DLS,ALS,SAXS,USSP,XRD,BET
material_signifier,Use either 'default' here or signifier from material sheet for material-dependent performance characteristics.,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default,default
trade_form,"{} = None
{powder} = Powder as supported trade form
{powder,suspension,aerosol} = All","{powder,suspension,aerosol}","{powder,suspension,aerosol}","{powder,suspension,aerosol}","{powder,suspension,aerosol}",{powder},{suspension},{suspension},{suspension},{suspension},{suspension},{suspension},{suspension},{suspension},{suspension},{suspension},{suspension},{powder},{powder}
preparation,"{} = None
{wetting} = Sample wetting
{wetting,drying,dispersion,substrate} = All",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,{}
dispersion_medium,"{} = None
{liquid} = Dispersed in liquids
{liquid,solid,embedded,substrate} = All",{substrate},{substrate},{substrate},{substrate},{substrate},{liquid},{liquid},{liquid},{liquid},{liquid},{liquid},{liquid},{liquid},{liquid},{liquid},{liquid},"{solid,embedded}",{solid}
dispersibility,"{} = None
{aqueous} = Dispersible in aqueous media
{aqueous,nonpolar,polar,specific,aerosol} = All","{aqueous,non-polar,polar,specific}","{aqueous,non-polar,polar,specific}","{aqueous,non-polar,polar,specific}","{aqueous,non-polar,polar,specific}","{aqueous,non-polar,polar,specific}",{aqueous},"{aqueous,specific}","{aqueous,nonpolar,polar}","{aqueous,nonpolar,polar}","{aqueous,non-polar,polar,specific}","{aqueous,non-polar,polar,specific}","{aqueous,non-polar,polar,specific}","{aqueous,non-polar,polar}","{aqueous,nonpolar,polar,specific,aerosol}","{aqueous,nonpolar,polar,specific}","{aqueous,nonpolar,polar}",{},{}
chemical_composition,"{} = None
{inorganic} = Inorganic
{inorganic,carbon,organic_p,organic_np,biological,composite,other,other_2011} = All","{inorganic,carbon,organic_p,organic_np,biological,composite,other,other_2011}","{inorganic,carbon,organic_p,organic_np,biological,composite,other,other_2011}","{inorganic,carbon,organic_p,organic_np,biological,composite,other,other_2011}","{inorganic,carbon,organic_p,organic_np,biological,composite,other,other_2011}","{inorganic,carbon,organic_p,organic_np,biological,composite,other,other_2011}","{inorganic,composite}","{inorganic,carbon,organic_p,biological,composite}","{inorganic,carbon,organic_p,organic_np,biological}","{inorganic,carbon,organic_p,organic_np,biological,composite,other,other_2011}","{inorganic,carbon,organic_p,biological,composite}","{inorganic,carbon,organic_p,biological,composite}","{inorganic,carbon,organic_p,biological,composite}","{inorganic,carbon,organic_p,biological,composite}","{inorganic,carbon,organic_p,biological,composite}","{inorganic,carbon,organic_p,organic_np,biological,composite,other,other_2011}","{inorganic,carbon,organic_p}","{inorganic,carbon,organic_p,organic_np,composite}","{inorganic,carbon,organic_p,organic_np,composite}"
composites,"{} = None
{core_shell} = Core/shell
{core_shell,multiple_coatings,mix} = All","{core_shell,multiple_coatings,mix}",{},"{core_shell,multiple_coatings,mix}","{core_shell,multiple_coatings,mix}","{core_shell,multiple_coatings,mix}",{},{},"{core_shell,multiple_coatings,mix}","{core_shell,multiple_coatings,mix}",{},{},"{core_shell,multiple_coatings,mix}","{core_shell,multiple_coatings,mix}",{},{},{},{},"{core_shell,multiple_coatings,mix}"
dimensions,"{} = None
{1d} = 1 small dimension
{1d,2d,3d,mix} = All","{2d,3d}","{2d,3d}","{2d,3d}","{2d,3d}","{1d,2d,3d,mix}",{3d},{3d},{3d},{3d},{3d},{3d},{3d},{3d},{3d},"{1d,2d,3d}",{3d},{3d},"{1d,2d,3d,mix}"
shape,"{} = None
{spherical} = Sphere or similar
{spherical,equiaxial,elongated,flat,other,other_2011,mix} = All","{spherical,equiaxial,elongated}","{spherical,equiaxial,elongated}","{spherical,equiaxial,elongated}","{spherical,equiaxial,elongated}","{spherical,equiaxial,elongated,flat,other,other_2011,mix}","{spherical,equiaxial}","{spherical,equiaxial}","{spherical,equiaxial}","{spherical,equiaxial}","{spherical,equiaxial}","{spherical,equiaxial}","{spherical,equiaxial}","{spherical,equiaxial}","{spherical,equiaxial}","{spherical,equiaxial,elongated,flat}","{spherical,equiaxial}","{spherical,equiaxial}","{spherical,equiaxial,elongated,flat,other,other_2011,mix}"
analysis_temperature,"[7,55.4] = 7°C -- 55.4°C
[-70,0] = -70°C -- 0°C
[35,35] = 35°C","[15,40]","[15,40]","[15,40]","[15,40]","[15,40]","[15,40]","[10,40]","[10,40]","[10,40]","[5,60]","[5,60]","[10,40]","[5,60]","[-40,100]","[-10,60]","[-10,60]","[15,40]","[15,40]"
electron_beam,"no = No
yes = Yes",yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
polydispersity,"{} = None
{quasi_mono} = Quasi-monodisperse
{quasi_mono,moderate_poly,high_poly} = All","{quasi_mono,moderate_poly,high_poly}","{quasi_mono,moderate_poly,high_poly}","{quasi_mono,moderate_poly,high_poly}","{quasi_mono,moderate_poly,high_poly}","{quasi_mono,moderate_poly,high_poly}","{quasi_mono,moderate_poly,high_poly}","{quasi_mono,moderate_poly,high_poly}","{quasi_mono,moderate_poly,high_poly}","{quasi_mono,moderate_poly,high_poly}","{quasi_mono,moderate_poly,high_poly}","{quasi_mono,moderate_poly,high_poly}","{quasi_mono,moderate_poly,high_poly}","{quasi_mono,moderate_poly,high_poly}","{quasi_mono,moderate_poly,high_poly}","{quasi_mono,moderate_poly}","{quasi_mono,moderate_poly,high_poly}","{quasi_mono,moderate_poly,high_poly}","{quasi_mono,moderate_poly,high_poly}"
multimodality,"{} = None
{diff_leq_20pct} = Peak size differ ≤ 20%
{diff_leq_20pct,diff_gt_x10,diff_moderate} = All","{diff_leq_20pct,diff_gt_x10,diff_moderate}","{diff_leq_20pct,diff_gt_x10,diff_moderate}","{diff_leq_20pct,diff_gt_x10,diff_moderate}","{diff_leq_20pct,diff_gt_x10,diff_moderate}","{diff_leq_20pct,diff_gt_x10,diff_moderate}","{diff_leq_20pct,diff_moderate}","{diff_leq_20pct,diff_moderate}","{diff_leq_20pct,diff_moderate}","{diff_leq_20pct,diff_gt_x10,diff_moderate}","{diff_leq_20pct,diff_gt_x10,diff_moderate}","{diff_leq_20pct,diff_gt_x10,diff_moderate}","{diff_leq_20pct,diff_gt_x10,diff_moderate}","{diff_gt_x10,diff_moderate}","{diff_gt_x10,diff_moderate}",{diff_moderate},{diff_moderate},"{diff_leq_20pct,diff_gt_x10,diff_moderate}","{diff_leq_20pct,diff_gt_x10,diff_moderate}"
conductivity,"{} = None
{conductive} = Conductive
{conductive,semiconductive,insulator} = All","{conductive,semiconductive,insulator}","{conductive,semiconductive,insulator}","{conductive,semiconductive,insulator}","{conductive,semiconductive,insulator}","{conductive,semiconductive,insulator}","{conductive,semiconductive,insulator}","{conductive,semiconductive,insulator}","{conductive,semiconductive,insulator}","{conductive,semiconductive,insulator}","{conductive,semiconductive,insulator}","{conductive,semiconductive,insulator}","{conductive,semiconductive,insulator}","{conductive,semiconductive,insulator}","{conductive,semiconductive,insulator}","{conductive,semiconductive,insulator}","{conductive,semiconductive,insulator}","{conductive,semiconductive,insulator}","{conductive,semiconductive,insulator}"
magnetism,"{} = None
{diamagnetic} = Diamagnetic
{diamagnetic,paramagnetic,superparamagnetic,ferromagnetic,ferrimagnetic,antiferromagnetic} = All","{diamagnetic,paramagnetic,superparamagnetic,ferromagnetic,ferrimagnetic,antiferromagnetic}","{diamagnetic,paramagnetic,superparamagnetic,ferromagnetic,ferrimagnetic,antiferromagnetic}","{diamagnetic,paramagnetic,superparamagnetic,ferromagnetic,ferrimagnetic,antiferromagnetic}","{diamagnetic,paramagnetic,superparamagnetic,ferromagnetic,ferrimagnetic,antiferromagnetic}","{diamagnetic,paramagnetic,superparamagnetic,ferromagnetic,ferrimagnetic,antiferromagnetic}","{diamagnetic,paramagnetic,superparamagnetic,ferromagnetic,ferrimagnetic,antiferromagnetic}","{diamagnetic,paramagnetic,superparamagnetic,ferromagnetic,ferrimagnetic,antiferromagnetic}","{diamagnetic,paramagnetic,superparamagnetic,ferromagnetic,ferrimagnetic,antiferromagnetic}","{diamagnetic,paramagnetic,superparamagnetic,ferromagnetic,ferrimagnetic,antiferromagnetic}","{diamagnetic,paramagnetic,superparamagnetic,ferromagnetic,ferrimagnetic,antiferromagnetic}","{diamagnetic,paramagnetic,superparamagnetic,ferromagnetic,ferrimagnetic,antiferromagnetic}","{diamagnetic,paramagnetic,superparamagnetic,ferromagnetic,ferrimagnetic,antiferromagnetic}","{diamagnetic,paramagnetic,superparamagnetic,ferromagnetic,ferrimagnetic,antiferromagnetic}","{diamagnetic,paramagnetic,superparamagnetic,ferromagnetic,ferrimagnetic,antiferromagnetic}","{diamagnetic,paramagnetic,superparamagnetic,ferromagnetic,ferrimagnetic,antiferromagnetic}","{diamagnetic,paramagnetic,superparamagnetic,ferromagnetic,ferrimagnetic,antiferromagnetic}","{diamagnetic,paramagnetic,superparamagnetic,ferromagnetic,ferrimagnetic,antiferromagnetic}","{diamagnetic,paramagnetic,superparamagnetic,ferromagnetic,ferrimagnetic,antiferromagnetic}"
functionalisation,"no = No
yes = Yes",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
light_absorption,"no = No
yes = Yes",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
fluorescence,"no = No
yes = Yes",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
aggregation,"no = No
yes = Yes",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
agglomeration,"no = No
yes = Yes",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
release_iam,"no = No
yes = Yes",yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
tier,"{} = None
{tier1} = Tier 1 (screening)
{tier1,tier1_na,tier2,tier2_na} = All",{tier2},{tier1},{tier2},{tier2},{tier2_na},{tier1_na},{tier1_na},{tier1_na},{tier1},{tier1},{tier1},{tier1_na},{tier1},{},{},{tier1_na},{},{tier1}
purpose,"{} = None
{reach} = REACH / REACH nanoform
{reach,cosmetics_regulation,food_regulation,biocide_regulation,other,other_2011,other,other_2011} = All","{reach,cosmetics_regulation,food_regulation,biocide_regulation,other,other_2011}","{reach,cosmetics_regulation,food_regulation,biocide_regulation,other,other_2011}","{reach,cosmetics_regulation,food_regulation,biocide_regulation,other,other_2011}","{reach,cosmetics_regulation,food_regulation,biocide_regulation,other,other_2011}","{reach,cosmetics_regulation,food_regulation,biocide_regulation,other,other_2011}","{cosmetics_regulation,food_regulation,biocide_regulation,other,other_2011}","{cosmetics_regulation,food_regulation,biocide_regulation,other,other_2011}","{cosmetics_regulation,food_regulation,biocide_regulation,other,other_2011}","{reach,cosmetics_regulation,food_regulation,biocide_regulation,other,other_2011}","{reach,cosmetics_regulation,food_regulation,biocide_regulation,other,other_2011}","{reach,cosmetics_regulation,food_regulation,biocide_regulation,other,other_2011}","{cosmetics_regulation,food_regulation,biocide_regulation,other,other_2011}","{reach,cosmetics_regulation,food_regulation,biocide_regulation,other,other_2011}","{cosmetics_regulation,food_regulation,biocide_regulation,other,other_2011}","{cosmetics_regulation,food_regulation,biocide_regulation,other,other_2011}","{cosmetics_regulation,food_regulation,biocide_regulation,other,other_2011}","{cosmetics_regulation,food_regulation,biocide_regulation,other,other_2011}","{reach,cosmetics_regulation,food_regulation,biocide_regulation,other,other_2011}"
